YEAR,MO,DY,HR,T2M,QV2M,WS10M,Irradiation,Solar_Power
2023,9,25,5,23.51,18.25,2.56,0.59,0.59
2023,9,25,6,24.23,18.74,3.47,2.1,2.1
2023,9,25,7,25.23,19.47,3.68,87,87
2023,9,25,8,26.73,20.26,3.58,221.4,221.4
2023,9,25,9,27.73,20.45,3.24,149.7,149.7
2023,9,25,10,28.1,20.51,2.84,583.8,583.8
2023,9,25,11,28.14,20.45,2.8,535,535
2023,9,25,12,28.01,20.39,2.8,810,810
2023,9,25,13,27.75,20.39,2.81,645,645
2023,9,25,14,27.47,20.57,2.69,541,541
2023,9,25,15,27.12,20.75,2.47,245,245
2023,9,25,16,26.67,20.87,2.13,144,144
2023,9,25,17,25.79,20.69,1.62,87,87
2023,9,25,18,25.27,20.2,1.62,5.3,5.3
2023,9,25,19,25.04,19.96,1.66,2.11,2.11
2023,9,25,20,24.8,19.71,1.67,0,0
2023,9,25,21,24.56,19.47,1.62,0,0
2023,9,25,22,24.32,19.23,1.61,0,0
2023,9,25,23,24.11,18.98,1.68,0,0
2023,9,26,0,23.87,18.8,1.77,0,0
2023,9,26,1,23.65,18.62,1.76,0,0
2023,9,26,2,23.5,18.43,1.74,0,0
2023,9,26,3,23.31,18.25,1.77,0,0
2023,9,26,4,23.15,18.13,1.85,0,0
2023,9,26,5,23.13,18.01,2,0.3,0.3
2023,9,26,6,24.02,18.68,2.88,4.1,4.1
2023,9,26,7,25.23,19.47,3.04,127.1,127.1
2023,9,26,8,26.85,19.96,2.72,298.8,298.8
2023,9,26,9,27.98,20.2,2.24,490.2,490.2
2023,9,26,10,28.87,20.32,1.47,173.2,173.2
2023,9,26,11,29.44,20.2,0.95,111.5,111.5
2023,9,26,12,29.76,20.14,0.84,624.3,624.3
2023,9,26,13,29.94,20.08,0.99,1129.6,1129.6
2023,9,26,14,29.82,20.08,1.32,712.2,712.2
2023,9,26,15,29.33,20.57,1.43,346.7,346.7
2023,9,26,16,28.73,20.57,1.53,248.6,248.6
2023,9,26,17,27.58,21.06,1.42,122.3,122.3
2023,9,26,18,26.59,20.81,1.54,9.7,9.7
2023,9,26,19,26.02,20.51,1.62,1.3,1.3
2023,9,26,20,25.64,20.26,1.48,0,0
2023,9,26,21,25.32,19.96,1.26,0,0
2023,9,26,22,25.16,19.65,0.92,0,0
2023,9,26,23,25.16,19.35,0.45,0,0
2023,9,27,0,24.94,19.23,0.36,0,0
2023,9,27,1,24.73,19.04,0.32,0,0
2023,9,27,2,24.51,18.98,0.71,0,0
2023,9,27,3,24.37,18.86,0.79,0,0
2023,9,27,4,24.28,18.8,0.69,0,0
2023,9,27,5,24.02,18.62,0.81,0.4,0.4
2023,9,27,6,24.59,19.23,0.88,6.4,6.4
2023,9,27,7,25.83,19.65,0.71,121.4,121.4
2023,9,27,8,27.05,19.47,0.57,364.8,364.8
2023,9,27,9,28,19.47,1,303,303
2023,9,27,10,28.62,19.65,1.22,828.6,828.6
2023,9,27,11,28.98,19.59,1.35,256.3,256.3
2023,9,27,12,29.2,19.71,1.42,1037.3,1037.3
2023,9,27,13,29.08,19.84,1.4,959.3,959.3
2023,9,27,14,28.93,20.02,1.29,837.6,837.6
2023,9,27,15,28.86,20.39,1.12,610.2,610.2
2023,9,27,16,28.59,19.9,1.04,347.3,347.3
2023,9,27,17,27.98,20.2,0.75,152.3,152.3
2023,9,27,18,27.75,19.41,0.54,3,3
2023,9,27,19,27.39,19.35,0.65,0,0
2023,9,27,20,26.83,19.29,0.86,0,0
2023,9,27,21,26.3,19.23,1.06,0,0
2023,9,27,22,25.64,19.17,1.29,0,0
2023,9,27,23,25.1,18.98,1.47,0,0
2023,9,28,0,24.66,18.86,1.56,0,0
2023,9,28,1,24.34,18.68,1.61,0,0
2023,9,28,2,24.1,18.49,1.65,0,0
2023,9,28,3,23.88,18.37,1.67,0,0
2023,9,28,4,23.83,18.31,1.62,0,0
2023,9,28,5,23.78,18.37,1.6,0.5,0.5
2023,9,28,6,24.73,19.1,2.02,3,3
2023,9,28,7,25.83,19.59,2.62,90.5,90.5
2023,9,28,8,27.85,20.14,1.77,394.9,394.9
2023,9,28,9,29.3,20.26,1.29,576.9,576.9
2023,9,28,10,30.15,20.57,1.31,600.1,600.1
2023,9,28,11,30.65,20.69,1.45,864.4,864.4
2023,9,28,12,30.78,20.75,1.67,962.5,962.5
2023,9,28,13,30.5,20.57,1.9,959.3,959.3
2023,9,28,14,30.07,20.69,1.89,837.8,837.8
2023,9,28,15,29.8,21.24,1.58,117.6,117.6
2023,9,28,16,29.29,20.45,1.49,61.8,61.8
2023,9,28,17,28.23,21.55,1.2,45.2,45.2
2023,9,28,18,27.6,21.36,1.28,1.3,1.3
2023,9,28,19,27.18,21.12,1.4,0.4,0.4
2023,9,28,20,26.8,20.94,1.45,0,0
2023,9,28,21,26.51,20.63,1.39,0,0
2023,9,28,22,26.26,20.26,1.19,0,0
2023,9,28,23,26.19,19.78,0.82,0,0
2023,9,29,0,26.08,19.47,0.49,0,0
2023,9,29,1,25.87,19.35,0.43,0,0
2023,9,29,2,25.52,19.41,0.6,0,0
2023,9,29,3,25.11,19.29,0.86,0,0
2023,9,29,4,24.73,19.17,1.12,0,0
2023,9,29,5,24.51,19.04,1.22,0.3,0.3
2023,9,29,6,25.17,19.71,1.18,1.7,1.7
2023,9,29,7,26.57,20.14,1.46,55.9,55.9
2023,9,29,8,27.95,20.57,1.56,309.6,309.6
2023,9,29,9,28.86,20.26,1.79,399,399
2023,9,29,10,29.34,20.14,1.83,529.5,529.5
2023,9,29,11,29.72,20.08,1.74,1001.2,1001.2
2023,9,29,12,29.87,20.02,1.61,1014.6,1014.6
2023,9,29,13,29.91,19.96,1.48,999,999
2023,9,29,14,29.84,19.9,1.28,892.6,892.6
